词牌,别称,代表词人,词体,经典篇目,名句
浣溪沙,沙溪、小庭花,晏殊、苏轼、李清照,小令,晏殊《一曲新词酒一杯》,无可奈何花落去，似曾相识燕归来
如梦令,宴桃源,李清照、秦观,小令,李清照《昨夜雨疏风骤》,知否，知否？应是绿肥红瘦
虞美人,一江春水,李煜、蒋捷,小令,李煜《春花秋月何时了》,问君能有几多愁？恰似一江春水向东流
长相思,双红豆,白居易、欧阳修、李煜,小令,李煜《一重山，两重山》,山远天高烟水寒，相思枫叶丹
菩萨蛮,重叠金,温庭筠、辛弃疾,小令,温庭筠《小山重叠金明灭》,懒起画蛾眉，弄妆梳洗迟
采桑子（丑奴儿）,罗敷媚,欧阳修、辛弃疾,小令,辛弃疾《少年不识愁滋味》,而今识尽愁滋味，欲说还休
点绛唇,点樱桃,李清照、姜夔,小令,李清照《蹴罢秋千》,和羞走，倚门回首，却把青梅嗅
卜算子,缺月挂疏桐,苏轼、陆游,小令,苏轼《黄州定慧院寓居作》,拣尽寒枝不肯栖，寂寞沙洲冷
相见欢,乌夜啼,李煜,小令,李煜《无言独上西楼》,剪不断，理还乱，是离愁
西江月,白苹香,苏轼、辛弃疾,小令,苏轼《明月别枝惊鹊》,稻花香里说丰年，听取蛙声一片
忆江南,望江南,白居易、温庭筠,小令,白居易《江南好》,日出江花红胜火，春来江水绿如蓝
